customer_id,first_name,last_name,gender,birth_date,city,phone,email,registration_date,status
CUST927378,Bin,Wang,F,1989-08-25,Hangzhou,15346357347,bin.wang99@example.com,2023-02-19,active
CUST998547,Fang,Zhu,F,1963-09-22,Shenzhen,16451924783,fang.zhu389@example.com,2020-04-11,active
CUST647586,Jun,He,F,1968-07-07,Qingdao,18809467318,jun.he341@example.com,2026-05-28,inactive
CUST249462,Qiang,Li,F,1985-01-19,Qingdao,19992767890,qiang.li469@example.com,2026-05-28,active
CUST914523,Long,Guo,F,1976-06-23,Shenzhen,18524611013,long.guo755@example.com,2018-08-06,inactive
CUST700735,Bin,Zhu,F,1975-05-09,Beijing,14234032749,bin.zhu262@example.com,2026-06-30,active
CUST575642,Ming,Wang,F,1968-04-24,Beijing,14674151738,ming.wang183@example.com,2021-03-19,active
CUST749818,Ming,Li,F,1960-03-01,Qingdao,17257834283,ming.li881@example.com,2026-05-05,active
CUST708538,Qiang,Zhou,M,1979-08-01,Shanghai,13747259111,qiang.zhou155@example.com,2021-04-17,active
CUST831588,Bin,Chen,M,1994-07-04,Guangzhou,14643228547,bin.chen543@example.com,2020-04-06,active
CUST434795,Wei,Ma,M,1984-05-15,Guangzhou,19308028292,wei.ma358@example.com,2026-06-12,active
CUST432206,Wei,Zhu,M,1979-08-07,Beijing,19450964777,wei.zhu934@example.com,2026-06-15,active
CUST570495,Ran,Zheng,F,1970-11-19,Shenzhen,13576125497,ran.zheng912@example.com,2024-07-31,active
CUST201232,Ting,Huang,M,1994-05-21,Nanjing,14491327034,ting.huang813@example.com,2026-05-29,inactive
CUST283991,Jie,Wang,F,1971-12-30,Shenzhen,15564873352,jie.wang896@example.com,2026-06-14,active
CUST862332,Qiang,Yang,F,1975-03-17,Chengdu,16665873570,qiang.yang761@example.com,2026-05-16,active
CUST417444,Ran,Zhou,M,1972-08-06,Shenzhen,17753193982,ran.zhou552@example.com,2026-05-20,active
CUST241496,Ting,Li,F,1986-11-28,Qingdao,16304493039,ting.li750@example.com,2026-05-09,active
CUST121156,Yan,Luo,M,1988-05-08,Guangzhou,13439689043,yan.luo361@example.com,2026-06-09,inactive
CUST200560,Jun,Zheng,M,1963-02-13,Qingdao,13829582199,jun.zheng752@example.com,2026-06-13,active
CUST454816,Ning,Huang,F,1965-10-24,Beijing,17383992526,ning.huang344@example.com,2026-06-24,active
CUST903504,Ting,He,M,1976-01-01,Qingdao,15755515192,ting.he789@example.com,2026-05-08,active
CUST364027,Ting,Wu,M,1960-04-06,Chengdu,19761170714,ting.wu251@example.com,2019-03-08,active
CUST910372,Tao,Wu,F,1988-12-10,Xian,19771371931,tao.wu363@example.com,2026-06-17,active
CUST404111,Qiang,Huang,M,1968-06-26,Guangzhou,18630058854,qiang.huang126@example.com,2026-05-07,active
CUST881693,Jun,Zhao,F,1981-04-22,Guangzhou,17229313748,jun.zhao553@example.com,2020-02-15,active
CUST674939,Qiang,Ma,M,1965-06-12,Guangzhou,14407684076,qiang.ma627@example.com,2021-09-01,active
